CIE10_X,CIE10,DESCRIPCION CIE
A159,A159,TUBERCULOSIS RESPIRATORIA NO ESPECIFICADA
A160,A160,TUBERCULOSIS DEL PULMON
A161,A161,TUBERCULOSIS DE PULMON
A162,A162,TUBERCULOSIS DE PULMON
A163,A163,TUBERCULOSIS DE GANGLIOS LINFATICOS INTRATORACICOS
A164,A164,TUBERCULOSIS DE LARINGE
A165,A165,PLEURESIA TUBERCULOSA
A167,A167,TUBERCULOSIS RESPIRATORIA PRIMARIA
A168,A168,OTRAS TUBERCULOSIS RESPIRATORIAS
A169,A169,TUBERCULOSIS RESPIRATORIA NO ESPECIFICADA
A170,A170,MENINGITIS TUBERCULOSA
A171,A171,TUBERCULOMA MENINGEO
A178,A178,OTRAS TUBERCULOSIS DEL SISTEMA NERVIOSO
A179,A179,TUBERCULOSIS DEL SISTEMA NERVIOSO
A180,A180,TUBERCULOSIS DE HUESOS Y ARTICULACIONES
A181,A181,TUBERCULOSIS DEL APARATO GENITOURINARIO
A182,A182,LINFADENOPATIA PERIFERICA TUBERCULOSA
A183,A183,TUBERCULOSIS DE LOS INTESTINOS
A184,A184,TUBERCULOSIS DE LA PIEL Y EL TEJIDO SUBCUTANEO
A185,A185,TUBERCULOSIS DEL OJO
A186,A186,TUBERCULOSIS DEL OIDO
A187,A187,TUBERCULOSIS DE GLANDULAS SUPRARRENALES
A188,A188,TUBERCULOSIS DE OTROS ORGANOS ESPECIFICADOS
A190,A190,TUBERCULOSIS MILIAR AGUDA DE UN SOLO SITIO ESPECIFICADO
A191,A191,TUBERCULOSIS MILIAR AGUDA DE SITIOS MULTIPLES
A192,A192,TUBERCULOSIS MILIAR AGUDA
A198,A198,OTRAS TUBERCULOSIS MILIARES
A199,A199,TUBERCULOSIS MILIAR
A200,A200,PESTE BUBONICA
A201,A201,PESTE CELULOCUTANEA
A202,A202,PESTE NEUMONICA
A203,A203,MENINGITIS POR PESTE
A207,A207,PESTE SEPTICEMICA
A208,A208,OTRAS FORMAS DE PESTE
A209,A209,PESTE
A210,A210,TULAREMIA ULCEROGLANDULAR
A211,A211,TULAREMIA OCULOGLANDULAR
A212,A212,TULAREMIA PULMONAR
A213,A213,TULAREMIA GASTROINTESTINAL
A217,A217,TULAREMIA GENERALIZADA
A218,A218,OTRAS FORMAS DE TULAREMIA
A219,A219,TULAREMIA
A220,A220,CARBUNCO CUTANEO
A221,A221,CARBUNCO PULMONAR
A222,A222,CARBUNCO GASTROINTESTINAL
A227,A227,CARBUNCO SEPTICO
A228,A228,OTRAS FORMAS DE CARBUNCO
A229,A229,CARBUNCO
A230,A230,BRUCELOSIS DEBIDA A BRUCELLA MELITENSIS
A231,A231,BRUCELOSIS DEBIDA A BRUCELLA ABORTUS
A232,A232,BRUCELOSIS DEBIDA A BRUCELLA SUIS
A233,A233,BRUCELOSIS DEBIDA A BRUCELLA CANIS
A238,A238,OTRAS BRUCELOSIS
A239,A239,BRUCELOSIS
A240,A240,MUERMO
A241,A241,MELIOIDOSIS AGUDA Y FULMINANTE
A242,A242,MELIOIDOSIS SUBAGUDA Y CRONICA
A243,A243,OTRAS MELIOIDOSIS
A244,A244,MELIOIDOSIS
A250,A250,ESPIRILOSIS
A251,A251,ESTREPTOBACILOSIS
A259,A259,FIEBRE POR MORDEDURA DE RATA
A260,A260,ERISIPELOIDE CUTANEO
A267,A267,SEPSIS POR ERYSIPELOTHRIX
A268,A268,OTRAS FORMAS DE ERISIPELOIDE
A269,A269,ERISIPELOIDE
A270,A270,LEPTOSPIROSIS ICTEROHEMORRAGICA
A278,A278,OTRAS FORMAS DE LEPTOSPIROSIS
A279,A279,LEPTOSPIROSIS
A280,A280,PASTEURELOSIS
A281,A281,ENFERMEDAD POR RASGUÑO DE GATO
A282,A282,YERSINIOSIS EXTRAINTESTINAL
A288,A288,OTRAS ENFERMEDADES ZOONOTICAS BACTERIANAS ESPECIFICADAS
A289,A289,ENFERMEDAD ZOONOTICA BACTERIANA
A300,A300,LEPRA INDETERMINADA
A301,A301,LEPRA TUBERCULOIDE
A302,A302,LEPRA TUBERCULOIDE LIMITROFE
A303,A303,LEPRA LIMITROFE
A304,A304,LEPRA LEPROMATOSA LIMITROFE
A305,A305,LEPRA LEPROMATOSA
A308,A308,OTRAS FORMAS DE LEPRA
A309,A309,LEPRA
A310,A310,INFECCIONES POR MICOBACTERIAS PULMONARES
A311,A311,INFECCION CUTANEA POR MICOBACTERIAS
A318,A318,OTRAS INFECCIONES POR MICOBACTERIAS
A319,A319,INFECCION POR MICOBACTERIA
A320,A320,LISTERIOSIS CUTANEA
A321,A321,MENINGITIS Y MENINGOENCEFALITIS LISTERIANA
A327,A327,SEPSIS LISTERIANA
A328,A328,OTRAS FORMAS DE LISTERIOSIS
A329,A329,LISTERIOSIS
A33X,A33,TETANOS NEONATAL
A34X,A34,TETANOS OBSTETRICO
A35X,A35,OTROS TETANOS
A360,A360,DIFTERIA FARINGEA
A361,A361,DIFTERIA NASOFARINGEA
A362,A362,DIFTERIA LARINGEA
A363,A363,DIFTERIA CUTANEA
A368,A368,OTRAS DIFTERIAS
A369,A369,DIFTERIA
A370,A370,TOS FERINA DEBIDA A BORDETELLA PERTUSSIS
A371,A371,TOS FERINA DEBIDA A BORDETELLA PARAPERTUSSIS
A378,A378,TOS FERINA DEBIDA A OTRAS ESPECIES DE BORDETELLA
A379,A379,TOS FERINA
A38X,A38,ESCARLATINA
A390,A390,MENINGITIS MENINGOCOCICA
A391,A391,SINDROME DE WATERHOUSE-FRIDERICHSEN
A392,A392,MENINGOCOCEMIA AGUDA
A393,A393,MENINGOCOCEMIA CRONICA
A394,A394,MENINGOCOCEMIA
A395,A395,ENFERMEDAD CARDIACA DEBIDA A MENINGOCOCO
A398,A398,OTRAS FORMAS DE ENFERMEDAD MENINGOCOCICA
A399,A399,ENFERMEDAD MENINGOCOCICA
A400,A400,SEPSIS DEBIDA A ESTREPTOCOCO
A401,A401,SEPSIS DEBIDA A ESTREPTOCOCO
A402,A402,SEPSIS DEBIDA A ESTREPTOCOCO
A403,A403,SEPSIS DEBIDA A STREPTOCOCCUS PNEUMONIAE
A408,A408,OTRAS SEPSIS ESTREPTOCOCICAS
A409,A409,SEPSIS ESTREPTOCOCICA
A410,A410,SEPSIS DEBIDA A STAPHYLOCOCCUS AUREUS
A411,A411,SEPSIS DEBIDA A OTRO ESTAFILOCOCO ESPECIFICADO
A412,A412,SEPSIS DEBIDA A ESTAFILOCOCO NO ESPECIFICADO
A413,A413,SEPSIS DEBIDA A HAEMOPHILUS INFLUENZAE
A414,A414,SEPSIS DEBIDA A ANAEROBIOS
A415,A415,SEPSIS DEBIDA A OTROS ORGANISMOS GRAMNEGATIVOS
A418,A418,OTRAS SEPSIS ESPECIFICADAS
A419,A419,SEPSIS
A420,A420,ACTINOMICOSIS PULMONAR
A421,A421,ACTINOMICOSIS ABDOMINAL
A422,A422,ACTINOMICOSIS CERVICOFACIAL
A427,A427,SEPSIS ACTINOMICOTICA
A428,A428,OTRAS FORMAS DE ACTINOMICOSIS
A429,A429,ACTINOMICOSIS
A430,A430,NOCARDIOSIS PULMONAR
A431,A431,NOCARDIOSIS CUTANEA
A438,A438,OTRAS FORMAS DE NOCARDIOSIS
A439,A439,NOCARDIOSIS
A440,A440,BARTONELOSIS SISTEMICA
A441,A441,BARTONELOSIS CUTANEA Y MUCOCUTANEA
A448,A448,OTRAS FORMAS DE BARTONELOSIS
A449,A449,BARTONELOSIS
A46X,A46,ERISIPELA
A480,A480,GANGRENA GASEOSA
A481,A481,ENFERMEDAD DE LOS LEGIONARIOS
A482,A482,ENFERMEDAD DE LOS LEGIONARIOS NO NEUMONICA (FIEBRE DE PONTIAC)
A483,A483,SINDROME DEL CHOQUE TOXICO
A484,A484,FIEBRE PURPURICA BRASILEÑA
A488,A488,OTRAS ENFERMEDADES BACTERIANAS ESPECIFICADAS
A490,A490,INFECCION ESTAFILOCOCICA
A491,A491,INFECCION ESTREPTOCOCICA Y ENTEROCOCICA DE SITIO NO ESPECIFICADO
A492,A492,INFECCION POR HAEMOPHILUS INFLUENZAE
A493,A493,INFECCION POR MICOPLASMA
A498,A498,OTRAS INFECCIONES BACTERIANAS DE SITIO NO ESPECIFICADO
A499,A499,INFECCION BACTERIANA
A500,A500,SIFILIS CONGENITA PRECOZ
A501,A501,SIFILIS CONGENITA PRECOZ
A502,A502,SIFILIS CONGENITA PRECOZ
A503,A503,OCULOPATIA SIFILITICA CONGENITA TARDIA
A504,A504,NEUROSIFILIS CONGENITA TARDIA [NEUROSIFILIS JUVENIL]
A505,A505,OTRAS FORMAS DE SIFILIS CONGENITA TARDIA
A506,A506,SIFILIS CONGENITA TARDIA
A507,A507,SIFILIS CONGENITA TARDIA
A509,A509,SIFILIS CONGENITA
A510,A510,SIFILIS GENITAL PRIMARIA
A511,A511,SIFILIS PRIMARIA ANAL
A512,A512,SIFILIS PRIMARIA EN OTROS SITIOS
A513,A513,SIFILIS SECUNDARIA DE PIEL Y MEMBRANAS MUCOSAS
A514,A514,OTRAS SIFILIS SECUNDARIAS
A515,A515,SIFILIS PRECOZ
A519,A519,SIFILIS PRECOZ
A520,A520,SIFILIS CARDIOVASCULAR
A521,A521,NEUROSIFILIS SINTOMATICA
A522,A522,NEUROSIFILIS ASINTOMATICA
A523,A523,NEUROSIFILIS NO ESPECIFICADA
A527,A527,OTRAS SIFILIS TARDIAS SINTOMATICAS
A528,A528,SIFILIS TARDIA
A529,A529,SIFILIS TARDIA
A530,A530,SIFILIS LATENTE
A539,A539,SIFILIS
A540,A540,INFECCION GONOCOCICA DEL TRACTO GENITOURINARIO INFERIOR SIN ABSCESO PERIURETRAL Y DE GLANDULA ACCESORIA
A541,A541,INFECCION GONOCOCICA DEL TRACTO GENITOURINARIO INFERIOR CON ABSCESO PERIURETRAL Y DE GLANDULAS ACCESORIAS
A542,A542,PELVIPERITONITIS GONOCOCICA Y OTRAS INFECCIONES GONOCOCICAS GENITOURINARIAS
A543,A543,INFECCION GONOCOCICA DEL OJO
A544,A544,INFECCION GONOCOCICA DEL SISTEMA OSTEOMUSCULAR
A545,A545,FARINGITIS GONOCOCICA
A546,A546,INFECCION GONOCOCICA DEL ANO Y DEL RECTO
A548,A548,OTRAS INFECCIONES GONOCOCICAS
A549,A549,INFECCION GONOCOCICA
A55X,A55,LINFOGRANULOMA (VENEREO) POR CLAMIDIAS
A560,A560,INFECCION DEL TRACTO GENITOURINARIO INFERIOR DEBIDA A CLAMIDIAS
A561,A561,INFECCION DEL PELVIPERITONEO Y OTROS ORGANOS GENITOURINARIOS DEBIDA A CLAMIDIAS
A562,A562,INFECCIONES DEL TRACTO GENITOURINARIO DEBIDAS A CLAMIDIAS
A563,A563,INFECCION DEL ANO Y DEL RECTO DEBIDA A CLAMIDIAS
A564,A564,INFECCION DE FARINGE DEBIDA A CLAMIDIAS
A568,A568,INFECCION DE TRANSMISION SEXUAL DE OTROS SITIOS DEBIDA A CLAMIDIAS
A57X,A57,CHANCRO BLANDO
A58X,A58,GRANULOMA INGUINAL
A590,A590,TRICOMONIASIS UROGENITAL
A598,A598,TRICOMONIASIS DE OTROS SITOS
A599,A599,TRICOMONIASIS
A600,A600,INFECCION DE GENITALES Y TRAYECTO UROGENITAL DEBIDA A VIRUS DEL HERPES [HERPES SIMPLE]
A601,A601,INFECCION DE LA PIEL PERIANAL Y RECTO POR VIRUS DEL HERPES SIMPLE
A609,A609,INFECCION ANOGENITAL POR VIRUS DEL HERPES SIMPLE
A630,A630,VERRUGAS (VENEREAS) ANOGENITALES
A638,A638,OTRAS ENFERMEDADES DE TRANSMISION PREDOMINANTEMENTE SEXUAL
A64X,A64,ENFERMEDAD DE TRANSMISION SEXUAL NO ESPECIFICADA
A65X,A65,SIFILIS NO VENEREA
A660,A660,LESIONES INICIALES DE FRAMBESIA
A661,A661,LESIONES PAPILOMATOSAS MULTIPLES Y FRAMBESIA CON PASO DE CANGREJO
A662,A662,OTRAS LESIONES PRECOCES DE LA PIEL EN LA FRAMBESIA
A663,A663,HIPERQUERATOSIS DE FRAMBESIA
A664,A664,GOMA Y ULCERAS DE FRAMBESIA
A665,A665,GANGOSA
A666,A666,LESIONES FRAMBESICAS DE LOS HUESOS Y DE LAS ARTICULACIONES
A667,A667,OTRAS MANIFESTACIONES DE FRAMBESIA
A668,A668,FRAMBESIA LATENTE
A669,A669,FRAMBESIA
A670,A670,LESIONES PRIMARIAS DE LA PINTA
A671,A671,LESIONES INTERMEDIAS DE LA PINTA
A672,A672,LESIONES TARDIAS DE LA PINTA
A673,A673,LESIONES MIXTAS DE LA PINTA
A679,A679,PINTA
A680,A680,FIEBRE RECURRENTE TRANSMITIDA POR PIOJOS
A681,A681,FIEBRE RECURRENTE TRANSMITIDA POR GARRAPATAS
A689,A689,FIEBRE RECURRENTE
A690,A690,ESTOMATITIS ULCERATIVA NECROTIZANTE
A691,A691,OTRAS INFECCIONES DE VINCENT
A692,A692,ENFERMEDAD DE LYME
A698,A698,OTRAS INFECCIONES ESPECIFICADAS POR ESPIROQUETAS
A699,A699,INFECCION POR ESPIROQUETA
A70X,A70,INFECCION DEBIDA A CHLAMYDIA PSITTACI
A710,A710,ESTADO INICIAL DE TRACOMA
A711,A711,ESTADO ACTIVO DE TRACOMA
A719,A719,TRACOMA
A740,A740,CONJUNTIVITIS POR CLAMIDIAS
A748,A748,OTRAS ENFERMEDADES POR CLAMIDIAS
A749,A749,INFECCION POR CLAMIDIAS
A750,A750,TIFUS EPIDEMICO DEBIDO A RICKETTSIA PROWAZEKII TRANSMITIDO POR PIOJOS
A751,A751,TIFUS RECRUDESCENTE [ENFERMEDAD DE BRILL]
A752,A752,TIFUS DEBIDO A RICKETTSIA TYPHI
A753,A753,TIFUS DEBIDO A RICKETTSIA TSUTSUGAMUSHI
A759,A759,TIFUS
A770,A770,FIEBRE MACULOSA DEBIDA A RICKETTSIA RICKETTSII
A771,A771,FIEBRE MACULOSA DEBIDA A RICKETTSIA CONORII
A772,A772,FIEBRE MACULOSA DEBIDA A RICKETTSIA SIBERICA
A773,A773,FIEBRE MACULOSA DEBIDA A RICKETTSIA AUSTRALIS
A778,A778,OTRAS FIEBRES MACULOSAS
A779,A779,FIEBRE MACULOSA
A78X,A78,FIEBRE Q
A790,A790,FIEBRE DE LAS TRINCHERAS
A791,A791,RICKETTSIOSIS PUSTULOSA DEBIDA A RICKETTSIA AKARI
A798,A798,OTRAS RICKETTSIOSIS ESPECIFICADAS
A799,A799,RICKETTSIOSIS
A800,A800,POLIOMIELITIS AGUDA PARALITICA
A801,A801,POLIOMIELITIS AGUDA PARALITICA DEBIDA A VIRUS SALVAJE IMPORTADO
A802,A802,POLIOMIELITIS AGUDA PARALITICA DEBIDA A VIRUS SALVAJE AUTOCTONO
A803,A803,OTRAS POLIOMIELITIS AGUDAS PARALITICAS Y LAS NO ESPECIFICADAS
A804,A804,POLIOMIELITIS AGUDA NO PARALITICA
A809,A809,POLIOMIELITIS AGUDA
A810,A810,ENFERMEDAD DE CREUTZFELDT-JAKOB
A811,A811,PANENCEFALITIS ESCLEROSANTE SUBAGUDA
A812,A812,LEUCOENCEFALOPATIA MULTIFOCAL PROGRESIVA
A818,A818,OTRAS INFECCIONES DEL SISTEMA NERVIOSO CENTRAL POR VIRUS ATIPICO
A819,A819,INFECCIONES DEL SISTEMA NERVIOSO CENTRAL POR VIRUS ATIPICO
A820,A820,RABIA SELVATICA
A821,A821,RABIA URBANA
A829,A829,RABIA
A830,A830,ENCEFALITIS JAPONESA
A831,A831,ENCEFALITIS EQUINA DEL OESTE
A832,A832,ENCEFALITIS EQUINA DEL ESTE
A833,A833,ENCEFALITIS DE SAN LUIS
A834,A834,ENCEFALITIS AUSTRALIANA
A835,A835,ENCEFALITIS DE CALIFORNIA
A836,A836,ENFERMEDAD POR VIRUS ROCIO
A838,A838,OTRAS ENCEFALITIS VIRALES TRANSMITIDAS POR MOSQUITOS
A839,A839,ENCEFALITIS VIRAL TRANSMITIDA POR MOSQUITOS
A840,A840,ENCEFALITIS DEL LEJANO ORIENTE TRANSMITIDA POR GARRAPATAS [ENCEFALITIS PRIMAVEROESTIVAL RUSA]
A841,A841,ENCEFALITIS CENTROEUROPEA TRANSMITIDA POR GARRAPATAS
A848,A848,OTRAS ENCEFALITIS VIRALES TRANSMITIDA POR GARRAPATAS
A849,A849,ENCEFALITIS VIRAL TRANSMITIDA POR GARRAPATAS
A850,A850,ENCEFALITIS ENTEROVIRAL
A851,A851,ENCEFALITIS POR ADENOVIRUS
A852,A852,ENCEFALITIS VIRAL TRANSMITIDA POR ARTROPODOS
A858,A858,OTRAS ENCEFALITIS VIRALES ESPECIFCADAS
A86X,A86,ENCEFALITIS VIRAL
A870,A870,MENINGITIS ENTEROVIRAL
A871,A871,MENINGITIS DEBIDA A ADENOVIRUS
A872,A872,CORIOMENINGITIS LINFOCITICA
A878,A878,OTRAS MENINGITIS VIRALES
A879,A879,MENINGITIS VIRAL
A880,A880,FIEBRE EXANTEMATICA ENTEROVIRAL [EXANTEMA DE BOSTON]
A881,A881,VERTIGO EPIDEMICO
A888,A888,OTRAS INFECCIONES VIRALES ESPECIFICADAS DEL SISTEMA NERVIOSO CENTRAL
A89X,A89,INFECCION VIRAL DEL SISTEMA NERVIOSO CENTRAL
A90X,A90,FIEBRE DEL DENGUE [DENGUE CLASICO]
A91X,A91,FIEBRE DEL DENGUE HEMORRAGICO
A920,A920,ENFERMEDAD POR VIRUS CHIKUNGUNYA
A921,A921,FIEBRE DE ONYONG-NYONG
A922,A922,FIEBRE EQUINA VENEZOLANA
A923,A923,INFECCION POR VIRUS DEL OESTE DEL NILO
A924,A924,FIEBRE DEL VALLE DEL RIFT
A928,A928,OTRAS FIEBRES VIRALES ESPECIFICADAS TRANSMITIDAS POR MOSQUITOS
A929,A929,FIEBRE VIRAL TRANSMITIDA POR MOSQUITO
A930,A930,ENFERMEDAD POR VIRUS DE  OROPOUCHE
A931,A931,FIEBRE TRANSMITIDA POR FLEBOTOMOS
A932,A932,FIEBRE DE COLORADO TRANSMITIDA POR GARRAPATAS
A938,A938,OTRAS FIEBRES VIRALES ESPECIFICADAS TRANSMITIDAS POR ARTROPODOS
A94X,A94,FIEBRE VIRAL TRANSMITIDA POR ARTROPODOS
A950,A950,FIEBRE AMARILLA SELVATICA
A951,A951,FIEBRE AMARILLA URBANA
A959,A959,FIEBRE AMARILLA
A960,A960,FIEBRE HEMORRAGICA DE JUNIN
A961,A961,FIEBRE HEMORRAGICA DE MACHUPO
A962,A962,FIEBRE DE LASSA
A968,A968,OTRAS FIEBRES HEMORRAGICAS POR ARENAVIRUS
A969,A969,FIEBRE HEMORRAGICA POR ARENAVIRUS
A970,A970,DENGUE SIN SIGNOS DE ALARMA
A971,A971,DENGUE CON SIGNOS DE ALARMA
A972,A972,DENGUE SEVERO
A979,A979,DENGUE
A980,A980,FIEBRE HEMORRAGICA DE CRIMEA-CONGO
A981,A981,FIEBRE HEMORRAGICA DE OMSK
A982,A982,ENFERMEDAD DE LA SELVA KYASANUR
A983,A983,ENFERMEDAD POR EL VIRUS DE MARBURG
A984,A984,ENFERMEDAD POR EL VIRUS DE EBOLA
A985,A985,FIEBRES HEMORRAGICAS CON SINDROME RENAL
A988,A988,OTRAS FIEBRES HEMORRAGICAS VIRALES ESPECIFICADAS
A99X,A99,FIEBRE VIRAL HEMORRAGICA
B000,B000,ECZEMA HERPETICO
B001,B001,DERMATITIS VESICULAR HERPETICA
B002,B002,GINGIVOESTOMATITIS Y FARINGOAMIGDALITIS HERPETICA
B003,B003,MENINGITIS HERPETICA
B004,B004,ENCEFALITIS HERPETICA
B005,B005,OCULOPATIA HERPETICA
B007,B007,ENFERMEDAD HERPETICA DISEMINADA
B008,B008,OTRAS FORMAS DE INFECCIONES HERPETICAS
B009,B009,INFECCION DEBIDA AL VIRUS DEL HERPES
B010,B010,MENINGITIS DEBIDA A VARICELA
B011,B011,ENCEFALITIS DEBIDA A VARICELA
B012,B012,NEUMONIA DEBIDA A VARICELA
B018,B018,VARICELA CON OTRAS COMPLICACIONES
B019,B019,VARICELA SIN COMPLICACIONES
B020,B020,ENCEFALITIS DEBIDA A HERPES ZOSTER
B021,B021,MENINGITIS DEBIDA A HERPES ZOSTER
B022,B022,HERPES ZOSTER CON OTROS COMPROMISOS DEL SISTEMA NERVIOSO
B023,B023,HERPES ZOSTER OCULAR
B027,B027,HERPES ZOSTER DISEMINADO
B028,B028,HERPES ZOSTER CON OTRAS COMPLICACIONES
B029,B029,HERPES ZOSTER SIN COMPLICACIONES
B03X,B03,VIRUELA
B04X,B04,VIRUELA DE LOS MONOS
B050,B050,SARAMPION COMPLICADO CON ENCEFALITIS
B051,B051,SARAMPION COMPLICADO CON MENINGITIS
B052,B052,SARAMPION COMPLICADO CON NEUMONIA
B053,B053,SARAMPION COMPLICADO CON OTITIS MEDIA
B054,B054,SARAMPION CON COMPLICACIONES INTESTINALES
B058,B058,SARAMPION CON OTRAS COMPLICACIONES
B059,B059,SARAMPION SIN COMPLICACIONES
B060,B060,RUBEOLA CON COMPLICACIONES NEUROLOGICAS
B068,B068,RUBEOLA CON OTRAS COMPLICACIONES
B069,B069,RUBEOLA SIN COMPLICACIONES
B07X,B07,VERRUGAS VIRICAS
B080,B080,OTRAS INFECCIONES DEBIDAS A ORTOPOXVIRUS
B081,B081,MOLUSCO CONTAGIOSO
B082,B082,EXANTEMA SUBITO [SEXTA ENFERMEDAD]
B083,B083,ERITEMA INFECCIOSO [QUINTA ENFERMEDAD]
B084,B084,ESTOMATITIS VESICULAR ENTEROVIRAL CON EXANTEMA
B085,B085,FARINGITIS VESICULAR ENTEROVIRICA
B088,B088,OTRAS INFECCIONES VIRALES ESPECIFICADAS
B09X,B09,INFECCION VIRAL NO ESPECIFICADA
B150,B150,HEPATITIS AGUDA TIPO A
B159,B159,HEPATITIS AGUDA TIPO A
B160,B160,HEPATITIS AGUDA TIPO B
B161,B161,HEPATITIS AGUDA TIPO B
B162,B162,HEPATITIS AGUDA TIPO B
B169,B169,HEPATITIS AGUDA TIPO B
B170,B170,INFECCION (SUPERINFECCION) AGUDA POR AGENTE DELTA EN LA HEPATITIS B CRONICA
B171,B171,HEPATITIS AGUDA TIPO C
B172,B172,HEPATITIS AGUDA TIPO E
B178,B178,OTRAS HEPATITIS VIRALES AGUDAS ESPECIFICADAS
B179,B179,HEPATITIS VIRAL AGUDA NO ESPECIFICADA
B180,B180,HEPATITIS VIRAL TIPO B CRONICA
B181,B181,HEPATITIS VIRAL TIPO B CRONICA
B182,B182,HEPATITIS VIRAL TIPO C CRONICA
B188,B188,OTRAS HEPATITIS VIRALES CRONICAS
B189,B189,HEPATITIS VIRAL CRONICA
B190,B190,HEPATITIS VIRAL NO ESPECIFICADA CON COMA HEPATICO
B199,B199,HEPATITIS VIRAL NO ESPECIFICADA SIN COMA HEPATICO
B200,B200,ENFERMEDAD POR VIH
B201,B201,ENFERMEDAD POR VIH
B202,B202,ENFERMEDAD POR VIH
B203,B203,ENFERMEDAD POR VIH
B204,B204,ENFERMEDAD POR VIH
B205,B205,ENFERMEDAD POR VIH
B206,B206,ENFERMEDAD POR VIH
